#method,#endpoint,#returncode,#comment,action,ttl,priority
POST,/services/search/jobs/${sid}/control,200,checking pause action,pause,,
POST,/services/search/jobs/${sid}/control,200,checking unpause action,unpause,,
POST,/services/search/jobs/${sid}/control,200,checking touch action,touch,,
POST,/services/search/jobs/${sid}/control,400,checking setttl action w/o ttl argument,setttl,,
POST,/services/search/jobs/${sid}/control,400,checking setttl action set to -1 it is converted to 2^64 - 1,setttl,-1,
POST,/services/search/jobs/${sid}/control,200,checking setttl action,setttl,0,
POST,/services/search/jobs/${sid}/control,200,checking setttl action,setttl,1,
POST,/services/search/jobs/${sid}/control,200,checking setttl action (at least 2^32 -1),setttl,4294967295,
POST,/services/search/jobs/${sid}/control,200,checking setttl action (2^64),setttl,#18446744073709551615,
POST,/services/search/jobs/${sid}/control,400,checking setttl action (2^64),setttl,#18446744073709551616,
POST,/services/search/jobs/${sid}/control,400,checking setpriority action w/o priority arg,setpriority,,
POST,/services/search/jobs/${sid}/control,400,checking setpriority action,setpriority,,-1
POST,/services/search/jobs/${sid}/control,200,checking setpriority action,setpriority,,0
POST,/services/search/jobs/${sid}/control,200,checking setpriority action,setpriority,,10
POST,/services/search/jobs/${sid}/control,400,checking setpriority action,setpriority,,11
POST,/services/search/jobs/${sid}/control,200,checking enablepreview action,enablepreview
POST,/services/search/jobs/${sid}/control,200,checking disablepreview action,disablepreview
POST,/services/search/jobs/${sid}/control,400,checking invalid action (expects 400),invalid
POST,/services/search/jobs/${sid}/control,200,checking finalize action,finalize
POST,/services/search/jobs/${sid}/control,200,checking cancel action,cancel
POST,/services/search/jobs/${sid}/control,404,delete is the same as cancel,pause
