#method,#endpoint,#returncode,#comment,#pause,#save,search,remote_server_list,earliest_time,latest_time,now,time_format,exec_mode,search_mode,rt_blocking,rt_queue_size,rt_maxblocksecs,rt_indexfilter,id,status_buckets,max_count,max_time,timeout,enable_lookups,reload_macros,reduce_freq,spawn_process,required_field_list,auto_cancel,auto_pause,namespace,invalid_argument
POST,/services/search/jobs,201,default without any optional argument,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,valid remote_server_list,,sid://sid,search index=_internal | head 100,"localhost:8089, localhost:8090, localhost:8091",,,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,no port given,,sid://sid,search index=_internal | head 100,localhost,,,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,no hostname given,,sid://sid,search index=_internal | head 100,8089,,,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,400,earliest_time = latest_time,,,search index=_internal | head 100,,2010-02-18T13:55:57.000-08:00,2010-02-18T13:55:57.000-08:00,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,400,earliest time > latest time,,,search index=_internal | head 100,,2010-02-18T13:55:57.000-08:00,2010-02-18T12:55:57.000-08:00,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,earliest time < latest time,,sid://sid,search index=_internal | head 100,,2010-02-18T13:55:57.000-08:00,2010-02-18T18:55:57.000-08:00,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,UTC old date (by def earliest should be earilier than this date,,sid://sid,search index=_internal | head 100,,,1970-01-01T16:00:01.000-08:00,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,400,non UTC,,,search index=_internal | head 100,,2010-W14-2,,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,400,non UTC,,,search index=_internal | head 100,,2/8/10,,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,400,non UTC,,,search index=_internal | head 100,,02/20/2010:10:27:34,,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,latest time by default is now,,sid://sid,search index=_internal | head 100,, -1m,,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,400,non UTC,,,search index=_internal | head 100,,,02/20/2010:10:27:34,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,400,earliest time = latest time,,,search index=_internal | head 100,, -24h, -24h,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,400,earliest time > latest time,,,search index=_internal | head 100,, -24h, -2d,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,earliest time < latest time,,sid://sid,search index=_internal | head 100,, -24h, -23h,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,relative time (now),,sid://sid,search index=_internal | head 100,,, now,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,relative time,,sid://sid,search index=_internal | head 100,,, -60m,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,relative time,,sid://sid,search index=_internal | head 100,,, -1h@h,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,relative time,,sid://sid,search index=_internal | head 100,,, -24h,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,relative time,,sid://sid,search index=_internal | head 100,,, -7d@m,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,relative time,,sid://sid,search index=_internal | head 100,,, @w0,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,relative time (+1d@d should not be invalid),,sid://sid,search index=_internal | head 100,,, +1d@d,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,relative time,,sid://sid,search index=_internal | head 100,,, +24h,,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,relative time (now),,sid://sid,search index=_internal | head 100,,,,now,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,relative time,,sid://sid,search index=_internal | head 100,,,, -60m,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,relative time,,sid://sid,search index=_internal | head 100,,,, -1h@h,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,relative time,,sid://sid,search index=_internal | head 100,,,, -24h,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,relative time,,sid://sid,search index=_internal | head 100,,,, -7d@m,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,relative time,,sid://sid,search index=_internal | head 100,,,, @w0,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,relative time (+1d@d should not be invalid),,sid://sid,search index=_internal | head 100,,,, +1d@d,,,,,,,,,,,,,,,,,,,,,
