#method,#endpoint,#returncode,#comment,offset,count,show_preview,search,field_list,output_mode
GET,/services/search/jobs/${sid}/results,200:retry,plain without arguments,,,,,,
GET,/services/search/jobs/${sid}/results,400,negative offset,-1,,,,,
GET,/services/search/jobs/${sid}/results,200:retry,default offset,0,,,,,
GET,/services/search/jobs/${sid}/results,200:retry,positive offset,1,,,,,
GET,/services/search/jobs/${sid}/results,200:retry,huge positive offset (valid at least 2^63 -1),#18446744073709551615,,,,,
GET,/services/search/jobs/${sid}/results,400,huge positive offset (invalid at least 2^63),#18446744073709551616,,,,,
GET,/services/search/jobs/${sid}/results,400,invalid offset (non-numeric),"1,000",,,,,
GET,/services/search/jobs/${sid}/results,200:retry,default count,,100,,,,
GET,/services/search/jobs/${sid}/results,400,negative count,,-1,,,,
GET,/services/search/jobs/${sid}/results,200:retry,zero count,,0,,,,
GET,/services/search/jobs/${sid}/results,200:retry,big count (valid 2^64 - 1),,#18446744073709551615,,,,
GET,/services/search/jobs/${sid}/results,400,big count (invalid 2^64),,#18446744073709551616,,,,
GET,/services/search/jobs/${sid}/results,400,invalid count (non-numeric),,"1,000",,,,
GET,/services/search/jobs/${sid}/results,200:retry,valid post-search syntax,,,,search foo,,
GET,/services/search/jobs/${sid}/results,200:retry,valid post-search syntax,,,,search _index=main,,
GET,/services/search/jobs/${sid}/results,400,invalid post-search syntax,,,,_index=main,,
GET,/services/search/jobs/${sid}/results,200:retry,valid field_list (will show no result if field not in transformed results),,,,,_time,
GET,/services/search/jobs/${sid}/results,200:retry,valid output_mode,,,,,,raw
GET,/services/search/jobs/${sid}/results,200:retry,valid output_mode,,,,,,csv
GET,/services/search/jobs/${sid}/results,200:retry,valid output_mode,,,,,,json
GET,/services/search/jobs/${sid}/results,200:retry,valid output_mode,,,,,,xml
GET,/services/search/jobs/${sid}/results,400,invalid output_mode,,,,,,invalid
GET,/services/search/jobs/${sid}/results,200:retry,deprecated options not checked (i.e. 'show_preview'),,,-1,,,
